threshold,fpr,tpr
1.79769e+308,0,0
1.79769e+308,0,0
0.775939,0,0.00230415
0.768493,0.0053286,0.00230415
0.762814,0.0053286,0.00460829
0.758863,0.0053286,0.00691244
0.757177,0.0053286,0.00921659
0.756054,0.0053286,0.0115207
0.755494,0.0053286,0.0138249
0.753255,0.0053286,0.016129
0.752139,0.0053286,0.0184332
0.750467,0.0053286,0.0207373
0.749354,0.0053286,0.0253456
0.748799,0.0053286,0.0276498
0.747134,0.0053286,0.0299539
0.744921,0.00651273,0.0299539
0.743817,0.00651273,0.0322581
0.743265,0.0071048,0.0345622
0.742714,0.00828893,0.0345622
0.742163,0.0100651,0.0437788
0.741613,0.0130255,0.0437788
0.741063,0.0260509,0.0529954
0.740513,0.0515098,0.0737327
0.739964,0.110124,0.108295
0.739416,0.12611,0.288018
0.738867,0.147425,0.304147
0.73832,0.259325,0.357143
0.737772,0.348135,0.423963
0.737225,0.390172,0.451613
0.736678,0.589106,0.474654
0.736132,0.613973,0.497696
0.735586,0.62759,0.5
0.735041,0.665483,0.523041
0.734496,0.693902,0.539171
0.733951,0.711072,0.552995
0.733407,0.712848,0.592166
0.732863,0.717584,0.608295
0.73232,0.719361,0.615207
0.731777,0.734162,0.62212
0.731234,0.738307,0.668203
0.730692,0.751332,0.677419
0.73015,0.757253,0.691244
0.729609,0.763766,0.702765
0.729068,0.769094,0.711982
0.728527,0.779751,0.751152
0.727987,0.788632,0.762673
0.727447,0.823564,0.81106
0.726908,0.825933,0.817972
0.726369,0.841918,0.829493
0.72583,0.856128,0.843318
0.725292,0.863825,0.85023
0.724754,0.878626,0.868664
0.724217,0.885139,0.87788
0.72368,0.89402,0.884793
0.723143,0.923623,0.891705
0.722607,0.932504,0.912442
0.722071,0.938425,0.917051
0.721536,0.957963,0.926267
0.721001,0.959739,0.928571
0.720466,0.961516,0.928571
0.719932,0.961516,0.949309
0.719398,0.96566,0.949309
0.718865,0.966844,0.956221
0.718332,0.96862,0.960829
0.717799,0.970397,0.960829
0.717267,0.970989,0.963134
0.716735,0.971581,0.967742
0.716204,0.973357,0.967742
0.715673,0.973949,0.967742
0.715142,0.973949,0.970046
0.714612,0.975133,0.970046
0.714082,0.975725,0.970046
0.713552,0.976317,0.970046
0.713023,0.976909,0.970046
0.712495,0.978686,0.97235
0.711966,0.979278,0.976959
0.711439,0.980462,0.979263
0.710384,0.981646,0.979263
0.709857,0.982238,0.981567
0.709331,0.983422,0.981567
0.708805,0.985198,0.981567
0.708279,0.986975,0.983871
0.707754,0.988159,0.986175
0.707229,0.988751,0.986175
0.706705,0.988751,0.988479
0.706181,0.989935,0.988479
0.705657,0.991119,0.990783
0.703045,0.991711,0.990783
0.702524,0.992303,0.990783
0.702003,0.992895,0.990783
0.701482,0.993487,0.993088
0.700442,0.994671,0.995392
0.699923,0.995263,0.995392
0.699404,0.995856,0.995392
0.698885,0.996448,0.995392
0.697332,0.996448,0.997696
0.696815,0.996448,1
0.696298,0.99704,1
0.695782,0.997632,1
0.695266,0.998224,1
0.693721,0.998816,1
0.693206,1,1
