threshold,fpr,tpr
1.79769e+308,0,0
1.79769e+308,0,0
1,0,0.00242131
0.808122,0,0.00484262
0.700601,0,0.00726392
0.68592,0,0.00968523
0.634861,0,0.0121065
0.623009,0,0.0145278
0.613958,0,0.0169492
0.565282,0,0.0193705
0.540274,0,0.0217918
0.521792,0,0.0242131
0.518296,0.00063012,0.0242131
0.511358,0.00063012,0.0266344
0.496832,0.00063012,0.0290557
0.488208,0.00063012,0.031477
0.476098,0.00063012,0.0338983
0.46897,0.00063012,0.0363196
0.464856,0.00063012,0.0387409
0.463316,0.00063012,0.0411622
0.459054,0.00126024,0.0411622
0.454615,0.00126024,0.0435835
0.441477,0.00126024,0.0460048
0.435942,0.00189036,0.0460048
0.434638,0.00189036,0.0484262
0.434402,0.00189036,0.0508475
0.434384,0.00252048,0.0508475
0.428831,0.00252048,0.0532688
0.426321,0.0031506,0.0532688
0.422269,0.00378072,0.0532688
0.414769,0.00441084,0.0532688
0.410144,0.00441084,0.0556901
0.407295,0.00441084,0.0581114
0.40007,0.00441084,0.0605327
0.395185,0.00441084,0.062954
0.39203,0.00441084,0.0653753
0.39169,0.00504096,0.0653753
0.391504,0.00504096,0.0677966
0.381988,0.00504096,0.0702179
0.381657,0.00504096,0.0726392
0.375151,0.00504096,0.0750605
0.374996,0.00504096,0.0774818
0.370337,0.00567108,0.0774818
0.353501,0.0063012,0.0774818
0.352526,0.00693132,0.0774818
0.351198,0.00756144,0.0774818
0.347414,0.00756144,0.0799031
0.346029,0.00756144,0.0823245
0.342628,0.00756144,0.0847458
0.340021,0.00756144,0.0871671
0.337761,0.00756144,0.0895884
0.333481,0.00819156,0.0895884
0.323519,0.00819156,0.0920097
0.322905,0.00882168,0.0920097
0.321863,0.00882168,0.094431
0.317721,0.0094518,0.094431
0.313808,0.0094518,0.0968523
0.313094,0.0094518,0.0992736
0.312588,0.0094518,0.101695
0.312282,0.0100819,0.101695
0.310474,0.010712,0.101695
0.308792,0.0113422,0.101695
0.307559,0.0119723,0.101695
0.301294,0.0126024,0.101695
0.301166,0.0132325,0.101695
0.300705,0.0138626,0.101695
0.29495,0.0144928,0.101695
0.294103,0.0151229,0.101695
0.293993,0.015753,0.101695
0.288832,0.0163831,0.101695
0.28389,0.0170132,0.101695
0.283019,0.0170132,0.104116
0.273449,0.0176434,0.104116
0.272833,0.0182735,0.104116
0.271328,0.0182735,0.106538
0.264298,0.0189036,0.106538
0.263841,0.0195337,0.106538
0.256502,0.0201638,0.106538
0.255632,0.0201638,0.108959
0.254967,0.0201638,0.11138
0.253114,0.020794,0.11138
0.252586,0.020794,0.113801
0.251695,0.0214241,0.113801
0.25142,0.0214241,0.116223
0.248844,0.0220542,0.116223
0.248451,0.0220542,0.118644
0.24835,0.0220542,0.121065
0.247856,0.0220542,0.123487
0.247106,0.0220542,0.125908
0.243652,0.0220542,0.128329
0.243009,0.0220542,0.130751
0.242277,0.0220542,0.133172
0.240511,0.0226843,0.133172
0.238454,0.0233144,0.133172
0.238288,0.0239445,0.133172
0.237873,0.0239445,0.135593
0.2339,0.0245747,0.135593
0.233411,0.0252048,0.135593
0.232208,0.0252048,0.138015
0.230666,0.0258349,0.138015
0.230627,0.0258349,0.140436
0.229485,0.0258349,0.142857
0.229093,0.0258349,0.145278
0.229007,0.0258349,0.1477
0.226216,0.026465,0.1477
0.224385,0.026465,0.150121
0.224108,0.026465,0.152542
0.223974,0.0270951,0.152542
0.223292,0.0277253,0.152542
0.222286,0.0283554,0.152542
0.221989,0.0283554,0.154964
0.220444,0.0283554,0.157385
0.218961,0.0283554,0.159806
0.218617,0.0289855,0.159806
0.217851,0.0289855,0.162228
0.217809,0.0289855,0.164649
0.216637,0.0289855,0.16707
0.21531,0.0289855,0.169492
0.215265,0.0289855,0.171913
0.213944,0.0296156,0.171913
0.212172,0.0296156,0.174334
0.211157,0.0302457,0.174334
0.209355,0.0308759,0.174334
0.208398,0.031506,0.174334
0.208132,0.0321361,0.174334
0.206864,0.0321361,0.176755
0.206449,0.0321361,0.179177
0.206207,0.0327662,0.179177
0.206104,0.0327662,0.181598
0.203611,0.0333963,0.181598
0.202689,0.0340265,0.181598
0.202677,0.0340265,0.184019
0.199406,0.0340265,0.186441
0.198831,0.0340265,0.188862
0.19846,0.0340265,0.191283
0.196535,0.0340265,0.193705
0.194194,0.0340265,0.196126
0.193763,0.0340265,0.198547
0.193592,0.0340265,0.200969
0.192414,0.0340265,0.20339
0.192001,0.0340265,0.205811
0.191715,0.0340265,0.208232
0.191372,0.0340265,0.210654
0.190955,0.0340265,0.213075
0.190578,0.0346566,0.213075
0.190355,0.0352867,0.213075
0.189903,0.0359168,0.213075
0.188924,0.0359168,0.215496
0.186348,0.0365469,0.215496
0.186153,0.0371771,0.215496
0.186012,0.0371771,0.217918
0.185585,0.0371771,0.220339
0.185051,0.0371771,0.22276
0.184716,0.0371771,0.225182
0.184554,0.0371771,0.227603
0.184242,0.0378072,0.227603
0.182365,0.0384373,0.227603
0.181555,0.0390674,0.227603
0.179764,0.0390674,0.230024
0.179674,0.0396975,0.230024
0.179423,0.0403277,0.230024
0.178943,0.0409578,0.230024
0.178892,0.0415879,0.230024
0.178442,0.042218,0.230024
0.176555,0.042218,0.232446
0.175621,0.042218,0.234867
0.175214,0.042218,0.237288
0.174886,0.042218,0.239709
0.174868,0.0428481,0.239709
0.174798,0.0434783,0.239709
0.174606,0.0434783,0.242131
0.174357,0.0441084,0.242131
0.173904,0.0441084,0.244552
0.173551,0.0441084,0.246973
0.173547,0.0447385,0.246973
0.173538,0.0447385,0.249395
0.173478,0.0447385,0.251816
0.173138,0.0453686,0.251816
0.172275,0.0453686,0.254237
0.17185,0.0459987,0.254237
0.171767,0.0459987,0.256659
0.17138,0.0459987,0.25908
0.171321,0.0459987,0.261501
0.170675,0.0466289,0.261501
0.169891,0.047259,0.261501
0.169614,0.047259,0.263923
0.169523,0.047259,0.266344
0.168503,0.0478891,0.266344
0.168193,0.0485192,0.266344
0.167426,0.0485192,0.268765
0.166628,0.0485192,0.271186
0.166403,0.0491493,0.271186
0.166164,0.0497795,0.271186
0.164551,0.0497795,0.273608
0.163974,0.0497795,0.276029
0.163443,0.0497795,0.27845
0.163131,0.0497795,0.280872
