threshold,fpr,tpr
1.79769e+308,0,0
1.79769e+308,0,0
0.241506,0,0.00242131
0.230335,0,0.00484262
0.209518,0,0.00726392
0.190583,0.00063012,0.00968523
0.181767,0.0031506,0.00968523
0.157691,0.0365469,0.0169492
0.150397,0.0365469,0.0217918
0.14344,0.0365469,0.0242131
0.136804,0.0378072,0.0266344
0.130476,0.042218,0.0363196
0.124441,0.0478891,0.0411622
0.118684,0.0623819,0.0677966
0.113194,0.131065,0.159806
0.107958,0.179584,0.200969
0.102964,0.222432,0.22276
0.0982012,0.377442,0.467312
0.0936586,0.412728,0.535109
0.0893262,0.424701,0.569007
0.0851942,0.470699,0.634383
0.0812533,0.659735,0.881356
0.0774946,0.666037,0.88862
0.0739099,0.721487,0.915254
0.070491,0.786389,0.939467
0.0672302,0.831758,0.953995
0.0641203,0.84121,0.96368
0.0611542,0.849401,0.973366
0.0583254,0.870195,0.973366
0.0556274,0.871456,0.975787
0.0530542,0.875236,0.978208
0.0506,0.89603,0.987893
0.0482593,0.906112,0.987893
0.046027,0.935728,0.987893
0.0438978,0.940769,0.990315
0.0418672,0.94959,0.990315
0.0399305,0.979836,0.992736
0.0346416,0.989288,0.995157
0.0330392,0.991178,0.995157
0.0315108,0.994959,0.995157
0.0300532,0.995589,0.995157
0.028663,1,1
