threshold,fpr,tpr
1.79769e+308,0,0
1.79769e+308,0,0
1,0,0.371429
0.0267003,0.0571429,0.371429
0.00287933,0.0571429,0.4
0.00124538,0.0571429,0.514286
0.00120437,0.142857,0.514286
0.00106421,0.171429,0.514286
0.000906036,0.171429,0.542857
0.000877068,0.171429,0.571429
0.000849895,0.171429,0.6
0.00013379,0.2,0.6
0.000103904,0.2,0.657143
8.29023e-05,0.228571,0.657143
5.70195e-05,0.228571,0.685714
4.78633e-05,0.257143,0.685714
2.98723e-05,0.257143,0.714286
1.66176e-05,0.285714,0.714286
1.66175e-05,0.314286,0.714286
1.43242e-05,0.342857,0.714286
1.1225e-05,0.371429,0.714286
1.01552e-05,0.428571,0.714286
1.01152e-05,0.485714,0.714286
9.42296e-06,0.514286,0.714286
8.96268e-06,0.542857,0.714286
8.73614e-06,0.542857,0.742857
8.53627e-06,0.571429,0.742857
8.17899e-06,0.6,0.742857
7.84856e-06,0.6,0.771429
7.68611e-06,0.628571,0.771429
6.887e-06,0.657143,0.771429
6.76852e-06,0.657143,0.8
5.7871e-06,0.685714,0.8
4.50134e-06,0.714286,0.8
1.33707e-06,0.742857,0.8
9.91595e-07,0.771429,0.8
6.85065e-07,0.8,0.8
4.81268e-07,0.828571,0.8
3.88925e-07,0.857143,0.8
2.56129e-07,0.857143,0.828571
4.04061e-08,0.885714,0.828571
4.04061e-08,0.914286,0.828571
6.78443e-09,0.942857,0.828571
5.72237e-09,0.942857,0.914286
2.97286e-09,0.942857,0.942857
2.35829e-09,0.942857,0.971429
4.37572e-10,0.942857,1
1.75438e-11,0.971429,1
0,1,1
