threshold,fpr,tpr
1.79769e+308,0,0
1.79769e+308,0,0
1,0,0.0142857
0.737425,0,0.0285714
0.632531,0,0.0428571
0.596956,0.00769231,0.0428571
0.566464,0.00769231,0.0571429
0.497904,0.00769231,0.0714286
0.459683,0.00769231,0.0857143
0.418246,0.00769231,0.1
0.382994,0.00769231,0.114286
0.377752,0.00769231,0.128571
0.368657,0.0153846,0.128571
0.339494,0.0153846,0.142857
0.329017,0.0153846,0.157143
0.279297,0.0153846,0.171429
0.272565,0.0230769,0.171429
0.26857,0.0307692,0.171429
0.250158,0.0307692,0.185714
0.239468,0.0384615,0.185714
0.237083,0.0384615,0.2
0.234614,0.0461538,0.2
0.23254,0.0461538,0.214286
0.221599,0.0461538,0.228571
0.21552,0.0538462,0.228571
0.212443,0.0615385,0.228571
0.211419,0.0615385,0.242857
0.208996,0.0615385,0.257143
0.203967,0.0692308,0.257143
0.20383,0.0769231,0.257143
0.198292,0.0769231,0.271429
0.191598,0.0846154,0.271429
0.188802,0.0846154,0.285714
0.186209,0.0846154,0.3
0.180673,0.0846154,0.314286
0.179957,0.0846154,0.328571
0.175094,0.0923077,0.328571
0.173547,0.1,0.328571
0.169942,0.1,0.342857
0.169914,0.107692,0.342857
0.162478,0.107692,0.357143
0.160578,0.107692,0.371429
0.15909,0.115385,0.371429
0.157319,0.115385,0.385714
0.156486,0.115385,0.4
0.154674,0.123077,0.4
0.152239,0.130769,0.4
0.15176,0.130769,0.414286
0.151722,0.138462,0.414286
0.150268,0.146154,0.414286
0.147677,0.153846,0.414286
0.146754,0.153846,0.428571
0.145315,0.153846,0.442857
0.14318,0.161538,0.442857
0.143101,0.169231,0.442857
0.142995,0.169231,0.457143
0.142191,0.169231,0.471429
0.141475,0.169231,0.485714
0.140608,0.176923,0.485714
0.139962,0.176923,0.5
0.139252,0.184615,0.5
0.139011,0.184615,0.514286
0.138728,0.192308,0.514286
0.134249,0.2,0.514286
0.134226,0.2,0.528571
0.133982,0.207692,0.528571
0.132778,0.207692,0.542857
0.132235,0.215385,0.542857
0.131004,0.223077,0.542857
0.130882,0.223077,0.557143
0.12912,0.223077,0.571429
0.128426,0.230769,0.571429
0.127511,0.230769,0.585714
0.124357,0.238462,0.585714
0.123985,0.246154,0.585714
0.121527,0.253846,0.585714
0.121168,0.253846,0.6
0.121087,0.261538,0.6
0.120467,0.261538,0.614286
0.119317,0.269231,0.614286
0.117104,0.269231,0.628571
0.11325,0.276923,0.628571
0.111261,0.284615,0.628571
0.104311,0.292308,0.628571
0.103707,0.3,0.628571
0.102203,0.307692,0.628571
0.10188,0.315385,0.628571
0.101857,0.323077,0.628571
0.100717,0.330769,0.628571
0.100158,0.338462,0.628571
0.0984911,0.346154,0.628571
0.0978759,0.353846,0.628571
0.0978282,0.361538,0.628571
0.096697,0.361538,0.642857
0.0963483,0.369231,0.642857
0.0962468,0.376923,0.642857
0.0950915,0.384615,0.642857
0.0948124,0.384615,0.657143
0.0927808,0.392308,0.657143
0.0919581,0.4,0.657143
0.0905608,0.407692,0.657143
0.0890738,0.407692,0.671429
0.0890562,0.407692,0.685714
0.0885436,0.415385,0.685714
0.0857456,0.423077,0.685714
0.0849469,0.430769,0.685714
0.0844235,0.430769,0.7
0.0828732,0.430769,0.714286
0.0820667,0.438462,0.714286
0.0819167,0.438462,0.728571
0.0794844,0.446154,0.728571
0.0793079,0.446154,0.742857
0.0736953,0.446154,0.757143
0.0734954,0.453846,0.757143
0.0732805,0.461538,0.757143
0.0730524,0.469231,0.757143
0.0727138,0.476923,0.757143
0.0726073,0.476923,0.771429
0.0722223,0.484615,0.771429
0.0714744,0.492308,0.771429
0.0706472,0.5,0.771429
0.0703814,0.507692,0.771429
0.0702777,0.515385,0.771429
0.0702382,0.523077,0.771429
0.0675098,0.530769,0.771429
0.0653967,0.538462,0.771429
0.064781,0.538462,0.785714
0.064096,0.546154,0.785714
0.0638519,0.553846,0.785714
0.0624607,0.561538,0.785714
0.0622601,0.569231,0.785714
0.0617362,0.569231,0.8
0.0614391,0.576923,0.8
0.0609733,0.576923,0.814286
0.0608221,0.584615,0.814286
0.0593358,0.592308,0.814286
0.0588599,0.6,0.814286
0.0581273,0.607692,0.814286
0.0579539,0.615385,0.814286
0.0577429,0.623077,0.814286
0.0574027,0.630769,0.814286
0.0571514,0.638462,0.814286
0.0563381,0.638462,0.828571
0.0557032,0.638462,0.842857
0.0555547,0.638462,0.857143
0.0552095,0.638462,0.871429
0.0549853,0.646154,0.871429
0.0548584,0.653846,0.871429
0.0548148,0.661538,0.871429
0.0534667,0.669231,0.871429
0.0531433,0.669231,0.885714
0.0518258,0.669231,0.9
0.0515696,0.676923,0.9
0.0511881,0.684615,0.9
0.05079,0.692308,0.9
0.0505115,0.7,0.9
0.0504264,0.707692,0.9
0.0503337,0.715385,0.9
0.0492256,0.723077,0.9
0.0492079,0.730769,0.9
0.0488137,0.738462,0.9
0.0483714,0.746154,0.9
0.0478741,0.753846,0.9
0.0470034,0.761538,0.9
0.046303,0.769231,0.9
0.0462228,0.776923,0.9
0.0460768,0.776923,0.914286
0.0456808,0.784615,0.914286
0.0451206,0.792308,0.914286
0.0449796,0.8,0.914286
0.0435736,0.8,0.928571
0.0424067,0.807692,0.928571
0.041069,0.815385,0.928571
0.0377781,0.823077,0.928571
0.0358612,0.830769,0.928571
0.0320812,0.838462,0.928571
0.030185,0.846154,0.928571
0.0292576,0.853846,0.928571
0.026657,0.853846,0.942857
0.0262998,0.861538,0.942857
0.0252531,0.869231,0.942857
0.0237779,0.869231,0.957143
0.0222482,0.876923,0.957143
0.0211735,0.884615,0.957143
0.0208788,0.892308,0.957143
0.0193455,0.9,0.957143
0.0159908,0.907692,0.957143
0.0152314,0.907692,0.971429
0.0150065,0.915385,0.971429
0.0149182,0.923077,0.971429
0.0139106,0.930769,0.971429
0.0134689,0.938462,0.971429
0.013422,0.946154,0.971429
0.0121425,0.953846,0.971429
0.0115519,0.953846,0.985714
0.0104466,0.953846,1
0.00946934,0.961538,1
0.00915805,0.969231,1
0.009111,0.976923,1
0.00723895,0.984615,1
0.0026906,0.992308,1
0,1,1
