threshold,fpr,tpr
1.79769e+308,0,0
1.79769e+308,0,0
1,0,0.00242131
0.259381,0,0.00484262
0.151492,0,0.00726392
0.12811,0,0.00968523
0.101595,0,0.0121065
0.0956446,0,0.0145278
0.0771226,0,0.0169492
0.0615577,0,0.0193705
0.0595308,0,0.0217918
0.0552944,0.00063012,0.0217918
0.0518673,0.00063012,0.0242131
0.0452355,0.00063012,0.0266344
0.045048,0.00063012,0.0290557
0.0432101,0.00063012,0.031477
0.0383549,0.00063012,0.0338983
0.0369905,0.00063012,0.0363196
0.0360546,0.00063012,0.0387409
0.0348996,0.00063012,0.0411622
0.0342649,0.00063012,0.0435835
0.0337849,0.00063012,0.0460048
0.0293436,0.00063012,0.0484262
0.0280151,0.00063012,0.0508475
0.0277142,0.00063012,0.0532688
0.0261596,0.00063012,0.0556901
0.0223262,0.00063012,0.0581114
0.0217268,0.00126024,0.0581114
0.0216254,0.00126024,0.0605327
0.0215487,0.00126024,0.062954
0.0213068,0.00126024,0.0653753
0.0207268,0.00126024,0.0677966
0.0193325,0.00126024,0.0702179
0.0190795,0.00126024,0.0726392
0.017266,0.00126024,0.0750605
0.0172338,0.00126024,0.0774818
0.0158081,0.00126024,0.0799031
0.0155344,0.00126024,0.0823245
0.0149398,0.00126024,0.0847458
0.0146862,0.00126024,0.0871671
0.0145045,0.00126024,0.0895884
0.0144162,0.00126024,0.0920097
0.0141745,0.00126024,0.094431
0.0139582,0.00126024,0.0968523
0.0137382,0.00189036,0.0968523
0.0134993,0.00252048,0.0968523
0.0134908,0.00252048,0.0992736
0.013338,0.0031506,0.0992736
0.0132509,0.0031506,0.101695
0.0131402,0.0031506,0.104116
0.0129382,0.0031506,0.106538
0.0129093,0.0031506,0.108959
0.0128406,0.0031506,0.11138
0.012744,0.0031506,0.113801
0.0126412,0.0031506,0.116223
0.0126147,0.00378072,0.116223
0.0124796,0.00378072,0.118644
0.0124134,0.00378072,0.121065
0.0122966,0.00441084,0.121065
0.0120961,0.00441084,0.123487
0.0120587,0.00441084,0.125908
0.0118309,0.00441084,0.128329
0.0118216,0.00441084,0.130751
0.0111126,0.00441084,0.133172
0.0109737,0.00441084,0.135593
0.0108875,0.00441084,0.138015
0.0108238,0.00441084,0.140436
0.0107551,0.00504096,0.140436
0.010668,0.00567108,0.140436
0.0104043,0.0063012,0.140436
0.010053,0.00693132,0.140436
0.009964,0.00756144,0.140436
0.00988309,0.00756144,0.142857
0.00974654,0.00756144,0.145278
0.0095787,0.00756144,0.1477
0.00957849,0.00819156,0.1477
0.00954635,0.00819156,0.150121
0.00944668,0.00882168,0.150121
0.00925043,0.00882168,0.152542
0.0091276,0.0094518,0.152542
0.00891856,0.0094518,0.154964
0.00883219,0.0100819,0.154964
0.00882502,0.0100819,0.157385
0.00870338,0.0100819,0.159806
0.00859444,0.0100819,0.162228
0.00856024,0.010712,0.162228
0.00852917,0.0113422,0.162228
0.00843741,0.0113422,0.164649
0.00834561,0.0119723,0.164649
0.00829859,0.0119723,0.16707
0.00829376,0.0126024,0.16707
0.0082403,0.0132325,0.16707
0.00821082,0.0138626,0.16707
0.00812428,0.0138626,0.169492
0.00812366,0.0144928,0.169492
0.00810209,0.0151229,0.169492
0.0080909,0.0151229,0.171913
0.00801999,0.0151229,0.174334
0.00798442,0.0151229,0.176755
0.00797473,0.0151229,0.179177
0.00795557,0.0151229,0.181598
0.00790605,0.0151229,0.184019
0.00757366,0.015753,0.184019
0.0075112,0.015753,0.186441
0.00750804,0.0163831,0.186441
0.00747104,0.0170132,0.186441
0.00745704,0.0176434,0.186441
0.00737758,0.0182735,0.186441
0.00735853,0.0182735,0.188862
0.00733683,0.0182735,0.191283
0.00722718,0.0189036,0.191283
0.00715561,0.0189036,0.193705
0.00708646,0.0189036,0.196126
0.0070859,0.0195337,0.196126
0.00703518,0.0201638,0.196126
0.00697025,0.0201638,0.198547
0.00679689,0.0201638,0.200969
0.00679492,0.020794,0.200969
0.00672156,0.020794,0.20339
0.00670524,0.020794,0.205811
0.006704,0.020794,0.208232
0.00663175,0.0214241,0.208232
0.00661181,0.0214241,0.210654
0.00659479,0.0214241,0.213075
0.00651904,0.0214241,0.215496
0.00651871,0.0214241,0.217918
0.00647083,0.0214241,0.220339
0.00641233,0.0220542,0.220339
0.00638676,0.0220542,0.22276
0.00637582,0.0220542,0.225182
0.0063226,0.0220542,0.227603
0.00632242,0.0226843,0.227603
0.00630652,0.0226843,0.230024
0.00628403,0.0233144,0.230024
0.00627973,0.0233144,0.232446
0.00627548,0.0239445,0.232446
0.00626243,0.0239445,0.234867
0.00625882,0.0245747,0.234867
0.00625782,0.0252048,0.234867
0.00625673,0.0252048,0.237288
0.0062427,0.0252048,0.239709
0.00624156,0.0252048,0.242131
0.00624108,0.0258349,0.242131
0.00622743,0.026465,0.242131
0.00618534,0.0270951,0.242131
0.00617083,0.0270951,0.244552
0.00606572,0.0277253,0.244552
0.0060536,0.0277253,0.246973
0.00605331,0.0283554,0.246973
0.0060401,0.0283554,0.249395
0.0059718,0.0283554,0.251816
0.00591842,0.0289855,0.251816
0.00591144,0.0289855,0.254237
0.00590096,0.0289855,0.256659
0.00585569,0.0296156,0.256659
0.0058421,0.0302457,0.256659
0.00583174,0.0308759,0.256659
0.00582892,0.031506,0.256659
0.00575355,0.031506,0.25908
0.00574735,0.0321361,0.25908
0.00567824,0.0327662,0.25908
0.00564267,0.0333963,0.25908
0.00562344,0.0340265,0.25908
0.00557482,0.0340265,0.261501
0.00555153,0.0340265,0.263923
0.00552189,0.0346566,0.263923
0.0054992,0.0352867,0.263923
0.00547567,0.0352867,0.266344
0.00545235,0.0359168,0.266344
0.00543533,0.0365469,0.266344
0.00540265,0.0365469,0.268765
0.00539444,0.0371771,0.268765
0.00539227,0.0378072,0.268765
0.00535836,0.0378072,0.271186
0.00533067,0.0378072,0.273608
0.00531959,0.0378072,0.276029
0.00530674,0.0384373,0.276029
0.00522749,0.0390674,0.276029
0.0052254,0.0390674,0.27845
0.00519741,0.0396975,0.27845
0.00519027,0.0396975,0.280872
0.00518984,0.0396975,0.283293
0.00518801,0.0403277,0.283293
0.00517842,0.0403277,0.285714
0.00515767,0.0403277,0.288136
0.00510309,0.0409578,0.288136
