
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000017                       # Number of seconds simulated (Second)
simTicks                                     16788500                       # Number of ticks simulated (Tick)
finalTick                                    16788500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.16                       # Real time elapsed on the host (Second)
hostTickRate                                108022749                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8578580                       # Number of bytes of host memory used (Byte)
simInsts                                         5084                       # Number of instructions simulated (Count)
simOps                                           5894                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    32670                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      37873                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            2                       # Voltage in Volts (Volt)
system.cpu0.numCycles                           33578                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                          12012                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                      44                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                          9456                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                    39                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined                6161                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            15315                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                  7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples              14531                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.650747                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.404852                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                    10939     75.28%     75.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                     1214      8.35%     83.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                      832      5.73%     89.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                      541      3.72%     93.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                      422      2.90%     95.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                      331      2.28%     98.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                      162      1.11%     99.38% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                       80      0.55%     99.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                       10      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total                14531                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                     20     11.11%     11.11% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     11.11% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     11.11% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     11.11% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     11.11% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     11.11% # attempts to use FU when none available (Count)
