
---------- Begin Simulation Statistics ----------
final_tick                                   16697500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55395                       # Simulator instruction rate (inst/s)
host_mem_usage                                8570896                       # Number of bytes of host memory used
host_op_rate                                    64157                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.09                       # Real time elapsed on the host
host_tick_rate                              181731405                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                        5084                       # Number of instructions simulated
sim_ops                                          5894                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000017                       # Number of seconds simulated
sim_ticks                                    16697500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     31812                       # number of cc regfile reads
system.cpu.cc_regfile_writes                     3763                       # number of cc regfile writes
system.cpu.committedInsts                        5084                       # Number of Instructions Simulated
system.cpu.committedOps                          5894                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               6.568843                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         6.568843                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           19599                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  421                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     1750                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.269134                       # Inst execution rate
system.cpu.iew.exec_refs                         3236                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       1214                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                     738                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  2545                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 32                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               193                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 1699                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               11975                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  2022                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               430                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                  8988                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      7                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                    42                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    402                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                    49                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             21                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          321                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect            100                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                      7712                       # num instructions consuming a value
system.cpu.iew.wb_count                          8498                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.522044                       # average fanout of values written-back
system.cpu.iew.wb_producers                      4026                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.254462                       # insts written-back per cycle
system.cpu.iew.wb_sent                           8634                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                     8739                       # number of integer regfile reads
system.cpu.int_regfile_writes                    4901                       # number of integer regfile writes
system.cpu.ipc                               0.152234                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.152234                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                10      0.11%      0.11% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                  5954     63.22%     63.33% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    6      0.06%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              3      0.03%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     63.42% # Type of FU issued
