
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000017                       # Number of seconds simulated (Second)
simTicks                                     17180500                       # Number of ticks simulated (Tick)
finalTick                                    17180500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.11                       # Real time elapsed on the host (Second)
hostTickRate                                152691125                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8548928                       # Number of bytes of host memory used (Byte)
simInsts                                         5511                       # Number of instructions simulated (Count)
simOps                                           6337                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    48937                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      56269                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            2                       # Voltage in Volts (Volt)
system.cpu0.numCycles                           34362                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              6.235166                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.160381                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                          12888                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                      46                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                         10163                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                    66                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined                6596                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            16590                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                  9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples              14455                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.703079                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.462781                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                    10676     73.86%     73.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                     1218      8.43%     82.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                      899      6.22%     88.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                      559      3.87%     92.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                      450      3.11%     95.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                      359      2.48%     97.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                      196      1.36%     99.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                       85      0.59%     99.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                       13      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total                14455                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                     36     17.22%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     17.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     17.22% # attempts to use FU when none available (Count)
